ra,dec,psfMag_r,psfMag_g
0.26793413216339,0.42926223609339,24.2918,24.94857
0.268074432392652,0.191196953420827,22.03037,23.40541
0.26839081770175,0.0404034466346784,24.29859,25.43807
0.345392118467657,0.330039049392202,22.5181,25.5231
0.345548510055266,0.458869113553436,23.91699,25.21389
0.345632569128725,0.314073568293888,22.52702,23.99942
0.345841335286025,0.295195053041767,23.41177,23.72642
0.346018712023657,0.0560382976402643,23.42555,24.08034
0.346212723526094,0.465805481630484,22.79606,23.07964
0.346555021867175,0.213225628381025,15.71141,16.30419
0.346602193791458,0.187763006598727,20.11775,21.73719
0.347320847232202,0.0184950243700977,24.92217,25.24962
0.347580851707932,0.443409687086985,24.38552,24.6685
0.347586035289396,0.248625188940989,21.15753,22.5373
0.347700076321189,0.321902903733972,20.57476,22.06651
0.42430244603338,0.345891097391079,21.97267,23.32032
0.424425398111566,0.317155790723732,21.49686,23.00201
0.424425669305492,0.38767356400586,20.90385,22.30958
0.425464719273208,0.468736937521489,23.82355,25.98542
0.425761843150894,0.283535382380232,24.09138,24.64749
0.426608506009051,0.125343229978688,23.04539,25.67924
0.0123988192223692,0.247078263562242,21.06232,21.44199
0.0124440975549192,0.223161445712178,20.51774,21.68645
0.012536870938618,0.249212555355721,20.78447,21.05692
0.0127381741129238,0.144089688274177,23.41852,24.6262
0.0130481474868134,0.358649744726033,21.16776,22.32554
0.0131075743043994,0.359252709771523,19.35272,20.77601
0.0131310692752038,0.456249238827004,19.26063,20.79464
0.0131820633303619,0.417100160924621,23.59655,25.5465
0.0132734773846543,0.17418453760875,22.99949,24.9472
0.0133453070716314,0.390201846363547,24.25911,25.49736
0.0133459178713906,0.228872424535702,20.96038,22.30819
0.0136302511238089,0.192448654196725,22.08033,22.17481
0.0136635778807204,0.306037591546149,24.80015,22.81697
0.013738069145548,0.108056831681153,21.65081,23.10072
0.0143800470070232,0.241334009651464,22.33947,24.13891
0.100771491740824,0.151111354949804,23.85407,24.56193
0.10157476766223,0.00662465833626727,23.48379,23.51467
0.101606671632501,0.127282796294153,14.92883,15.33949
0.102026086727506,0.387771748997524,21.52804,21.92171
0.102129631819098,0.0125464787109379,24.46582,23.2382
0.102345650994803,0.118613850678399,16.58701,17.03443
0.10255845155806,0.0310306763194029,23.55645,24.26587
0.102748684278973,0.127900861889459,22.3844,22.89846
0.102804773083335,0.300159585628815,21.06753,22.58135
0.102996838733645,0.36434980095429,23.34124,24.39688
0.181115304132561,0.294275110749778,23.49387,25.1218
0.181324031368803,0.494454317028999,13.79086,14.56553
0.181616281065203,0.327095717724078,22.97746,24.65578
0.181855979261542,0.431005929528492,18.70061,19.3742
0.182091032018889,0.240836766416025,22.19926,23.46004
0.182199582105568,0.333868303366463,21.23882,21.49582
0.182612659984498,0.0126962148616168,24.69234,23.63075
0.182817387541425,0.115873512068614,19.2034,20.6772
0.183018194413931,0.158708212983188,19.79062,21.2065
0.183084087344543,0.0639790055942643,21.3037,22.79854
0.183229272591767,0.0533380424077143,22.72403,24.58515
0.183389251470658,0.222509728829342,19.41515,19.79681
0.183438040064573,0.475448790399695,16.30622,17.90072
0.261133696858211,0.176374271944767,16.08956,16.84434
0.261329977759289,0.452021079357076,24.96159,24.16319
0.261393839991058,0.343486549775615,23.18406,24.46558
0.261403536693592,0.330413927063935,21.49161,22.73486
0.26174105612256,0.379043363800462,25.77345,23.2086
0.262274748662946,0.0523699470824941,21.1781,21.53411
0.262279558909711,0.486668981230964,23.15986,24.41633
0.262527470775581,0.480427523014647,22.8276,23.66556
0.262611342730622,0.492915449954106,24.45963,24.77576
0.263027014616625,0.240109901870157,21.72843,23.07463
0.263210458675701,0.243796967885853,19.89264,21.18932
0.263311939987489,0.10964588593782,20.65902,22.09688
0.263319044093372,0.0180428119278197,20.51077,21.90892
0.263350802869176,0.0125401802237048,25.1454,23.45911
0.263415929966488,0.00561726441678164,23.43566,23.18122
0.343037951358935,0.0785306418866748,20.70577,22.12012
0.343700598289805,0.057854981557097,22.92479,23.35627
0.343992564380869,0.472343147178519,24.01044,23.21018
0.344070908044216,0.410269949953603,21.49855,21.52371
0.344377047251385,0.219001259268187,22.3783,23.69229
0.344610521583258,0.0909472278666203,25.12417,23.48317
0.345056567291095,0.42246602014816,17.59472,19.03551
0.345058622539637,0.163244185600967,23.73851,23.4887
0.427159762307383,0.351977067411428,19.79674,21.16185
0.427504819789931,0.223426125072233,25.49859,23.35777
0.427924172999155,0.422585692750087,22.96138,23.77792
0.428089756735062,0.379187261262661,19.85911,21.38337
0.428306404975249,0.159971693890176,13.37107,13.95735
0.428721552448648,0.0487888622450839,18.28852,18.26002
0.428747529923498,0.263383664885058,20.69079,21.89246
0.428800057475542,0.255432385665207,23.57463,23.19451
0.429326997267736,0.455662015086839,22.64124,23.84997
0.0275449749435879,0.167517188857168,20.97654,25.54893
0.0281309688787701,0.23727927643277,20.02027,21.32792
0.0283692449591815,0.0950536536101337,24.15979,23.51783
0.0284374232736848,0.0413267760939166,17.31195,18.32489
0.0285061197955461,0.0762337935291232,24.55165,23.3488
0.0289035404479705,0.444736447494622,22.39466,22.8314
0.0289444068757803,0.334067587826465,22.12129,23.49516
0.0293204090003236,0.176399945582674,24.42248,25.10212
0.105709708574636,0.377256630418205,20.96737,22.58076
0.105942592432996,0.426730791500487,22.29689,22.77463
0.106031710739273,0.47412307183223,21.84717,22.46885
0.106371648085769,0.364316394798442,21.4435,22.77329
0.106733467341504,0.0609467788734664,21.44208,22.1478
0.106926302116335,0.300705747158655,22.50136,24.67353
0.10706762788454,0.184306918432164,19.81103,21.25628
0.10709273053666,0.0156509063873091,21.90527,22.91506
0.107140624948102,0.215275403831038,22.78507,23.14381
0.107400076893686,0.176824602397327,24.62669,24.55295
0.10746966483282,0.280428245413181,21.15983,22.83614
0.107509845022578,0.134757004428314,20.58941,22.03706
0.107966222739094,0.214121917583394,22.58952,23.91505
0.18836738779706,0.0195439839383637,23.11057,23.60477
0.188494743898254,0.0614306122845599,22.98512,24.13898
0.18910715380682,0.019175485450213,19.29017,20.75714
0.189176949561329,0.434612565828756,18.02509,19.36613
0.189442237791127,0.429040661583835,21.80072,21.89597
0.189468238111459,0.454254117123125,21.84691,22.74874
0.189508001205866,0.262585441292837,22.81303,23.73199
0.190343483717536,0.0683833574027355,24.28298,24.42978
0.190356283947722,0.3002011619872,17.43964,17.77593
0.190369212874288,0.472089774124085,23.57187,23.30274
0.190422432019723,0.162604576118056,19.8215,20.66417
0.19054873337825,0.263736900591001,22.79685,24.72184
0.271201644601378,0.040406164896357,24.66675,24.88782
0.271205814090621,0.448420973604788,21.14649,22.60967
0.271220812843296,0.459917259999397,21.80874,23.10221
0.271310798194804,0.489412298209302,20.2073,21.79874
0.27135519382,0.419343955894331,20.83122,21.34541
0.271813421336901,0.284458338765982,17.13275,18.31213
0.272214819337909,0.0824381948743002,22.04287,24.89022
0.272516335997864,0.391905875712676,22.68846,25.28098
0.272877013165271,0.293871046798849,22.73322,25.62685
0.273018749988957,0.0544334239805684,17.30166,18.70694
0.273288059990904,0.495426533509396,24.06146,24.96099
0.273296299241508,0.392135833265543,22.76614,23.87823
0.347708177481474,0.144324966675836,22.8051,23.54677
0.348464252617987,0.254572848964461,22.96362,21.77256
0.34876471970583,0.112008038219445,19.93547,21.28066
0.349493409664092,0.286768658518407,22.52106,24.3475
0.349496409198025,0.257337745285817,22.94823,23.72296
0.350059565107244,0.258794609031931,24.68908,25.01178
0.350125693293778,0.152385818868553,24.93523,24.82176
0.350242302160815,0.197015315090091,24.23081,24.92635
0.435151189182051,0.455676126322596,22.61371,25.07875
0.43617235254618,0.322672662708569,16.88638,17.96573
0.436515813850122,0.459080672611419,22.84681,24.09899
0.436665278778577,0.482085752897897,21.38785,22.83157
0.436815010453529,0.48539369494929,20.95023,22.30528
0.437589673932337,0.419719525599569,21.12946,22.74388
0.0246226875237312,0.42311972893833,24.32155,24.67954
0.0246230639573355,0.216967533753673,20.88123,22.49948
0.0248012325497289,0.0763273239652694,24.1742,23.47073
0.0249339974679028,0.170539691971189,16.79656,17.86088
0.0251795142893503,0.177753247357291,22.08365,23.91591
0.0252214682926706,0.364838682112134,22.93228,24.74594
0.0259059358521085,0.372689357632004,23.19366,23.13225
0.025996686727856,0.197692425266537,25.24827,25.30917
0.0261329405074946,0.433857459601773,18.26642,19.75388
0.0262679792919851,0.146645800651144,19.247,20.68597
0.0264889278822409,0.455261892614457,22.8062,23.62992
0.108527617075623,0.433733071594847,20.58199,20.9045
0.108604009354256,0.183204161200244,25.00296,24.84334
0.108719940432024,0.269670550550778,20.12945,21.42632
0.108736291528723,0.0434563801870681,20.153,20.59816
0.108772897918229,0.0160827495216638,21.5822,22.02816
0.109288522110255,0.205890589394708,22.97933,25.16387
0.109325511656181,0.471535774489229,23.84384,24.24495
0.109623590250862,0.291796047569398,23.18942,25.012
0.109658022409379,0.0821790539351637,23.06258,23.27718
0.109917238353958,0.0533453647066044,23.63307,24.9702
0.110256620433971,0.204286713101804,24.80227,25.11425
0.110631897839824,0.46830773575321,17.76698,19.16675
0.191003522738129,0.331016774885507,21.68866,23.60201
0.19196974500403,0.26372360174187,22.5816,23.68912
0.191979048560114,0.187235840211772,23.13878,24.51497
0.19215126226042,0.0443745000528972,21.45291,21.91253
0.192321383237356,0.300499648697602,22.93782,23.91499
0.192380118887741,0.473741594823747,21.84714,23.17296
0.192910648138962,0.481614670991136,21.83725,23.18158
0.193201190513088,0.140983145366726,21.0031,21.09102
0.193261323945654,0.197602477945092,24.69249,25.13227
0.268864129676984,0.464936522550804,20.4983,20.45568
0.269007567271842,0.223593968799859,25.26007,23.24524
0.269763252226056,0.49737039281164,20.80481,22.20494
0.269846638046955,0.160619827652254,23.00124,24.53826
0.270025583340271,0.283017023495884,22.86703,24.76027
0.270065093077571,0.0376841733682672,22.90977,23.9268
0.270425458347347,0.307295025677236,22.60638,23.79866
0.27053059470245,0.244213676413461,25.05437,24.73201
0.270561038234739,0.08042237907477,21.32382,22.91315
0.270591851466268,0.0767303266831251,20.24644,21.75934
0.270646500910516,0.367215704220046,22.90613,24.18077
0.270759371860525,0.082523256456537,22.87089,25.32849
0.3505090947707,0.346425962969174,22.18347,23.05784
0.350560637306591,0.154888349063865,23.21254,23.34588
0.350588260026644,0.127549897407719,16.7479,17.53792
0.351067612582369,0.49551283142745,24.76056,25.16864
0.351387002376375,0.0270159588208643,17.06078,17.45622
0.351952335929216,0.13126468630079,18.85972,19.12131
0.351964904845586,0.167084878496263,18.49603,19.93613
0.351989751145329,0.119178748434067,19.6638,21.17262
0.35243442465042,0.167960112289701,24.59904,23.63655
0.352659738550917,0.203964050043838,15.80965,16.3516
0.43785688767656,0.215375326194366,22.81783,26.01996
0.437873663855834,0.0330796496613575,23.95832,25.09415
